time start,tme end,time duration,source addr,dest addr,source port,dest port,prot,flag,,,#pkts,#byte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,time recvd,Application,Sub/App,
ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr,,,
16/10/2022 21:32,16/10/2022 21:32,0.116,10.0.2.15,151.101.129.140,58328,443,TCP,...APRSF,0,0,11,1252,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:32,16/10/2022 21:32,0.116,151.101.129.140,10.0.2.15,443,58328,TCP,...APRSF,0,0,11,4736,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:32,16/10/2022 21:32,0.165,10.0.2.15,151.101.129.140,58338,443,TCP,...APRSF,0,0,10,1212,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:32,16/10/2022 21:32,0.165,151.101.129.140,10.0.2.15,443,58338,TCP,...AP.S.,0,0,9,4644,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.069,10.0.2.15,151.101.129.140,58340,443,TCP,...APRSF,0,0,10,1212,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.069,151.101.129.140,10.0.2.15,443,58340,TCP,...AP.S.,0,0,9,4649,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,35:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.15,10.0.2.15,151.101.1.140,54790,443,TCP,...APRSF,0,0,10,1212,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,36:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.15,151.101.1.140,10.0.2.15,443,54790,TCP,...AP.S.,0,0,9,4636,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,36:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.136,10.0.2.15,151.101.1.140,54804,443,TCP,...APRSF,0,0,10,1212,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,36:01.1,Twitter,Edge/CDN,
16/10/2022 21:33,16/10/2022 21:33,0.136,151.101.1.140,10.0.2.15,443,54804,TCP,...AP.S.,0,0,9,4636,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0,0,0,127.0.0.1,0/0,1,36:01.1,Twitter,Edge/CDN,
